1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
     0	-0.00001	 0.00002	-0.01698	 0.02422	 0.00838	 0.01416	-0.01794	 0.00634	-0.01838	 0.00686	 0.00861	-0.01248	-0.00880	-0.00218	-0.00944	-0.00069	-0.01793	-0.00212	-0.01565	-0.00291	-0.01744	-0.00166	-0.01251	-0.00087	-0.01670	-0.01076	-0.04669	 0.01703	-0.00949	-0.01796	 0.00002	-0.00005	 0.01997	 0.01403	-0.00048	 0.00032	NULL
     1	 0.09568	 0.04069	 0.07904	 0.09988	 0.17521	 0.14260	 0.18366	 0.04678	 0.04738	 0.04871	 0.06620	 0.05837	 0.04076	 0.02758	 0.08079	 0.01041	 0.14816	 0.04809	 0.10529	 0.05295	 0.09529	 0.02339	 0.05062	 0.04032	 0.26708	 0.07130	 0.08641	 0.02541	 0.24488	 0.12479	 0.09376	 0.07504	 0.25550	 0.13173	 0.39406	-0.15497	NULL
     2	 0.09568	 0.04069	 0.07904	 0.09988	 0.15862	 0.16632	 0.18366	 0.04678	 0.04738	 0.04871	 0.04599	 0.05668	 0.03899	 0.02715	 0.07936	 0.01009	 0.14305	 0.04795	 0.09929	 0.05135	 0.09280	 0.02029	 0.05062	 0.04032	 0.25010	 0.06043	 0.08641	 0.02541	 0.21478	 0.13609	 0.09376	 0.07504	 0.26216	 0.13829	 0.13842	 0.21210	NULL
     3	 0.09568	 0.04069	 0.10750	 0.08982	 0.15862	 0.16632	 0.18366	 0.04678	 0.02892	 0.05564	 0.05468	 0.04415	 0.03546	 0.02627	 0.07419	 0.01034	 0.13406	 0.04587	 0.08617	 0.04801	 0.08159	 0.01634	 0.05553	 0.03327	 0.23315	 0.04957	 0.03221	 0.10221	 0.20519	 0.11787	 0.10863	 0.05397	 0.28064	 0.14940	 0.33633	 0.13421	NULL
     4	 0.08353	 0.05805	 0.10750	 0.08982	 0.16702	 0.18069	 0.18366	 0.04678	 0.01577	 0.05502	 0.05468	 0.04415	 0.03193	 0.02539	 0.06904	 0.01056	 0.12670	 0.04521	 0.08014	 0.04643	 0.07284	 0.01552	 0.03808	 0.03947	 0.21662	 0.05577	 0.03221	 0.10221	 0.19558	 0.09969	 0.10863	 0.05397	 0.29243	 0.15393	 0.33633	 0.13421	NULL
     5	 0.11167	 0.04749	 0.13599	 0.07974	 0.16702	 0.18069	 0.18366	 0.04678	 0.00261	 0.05441	 0.03447	 0.04248	 0.02944	 0.02303	 0.06323	 0.00935	 0.11547	 0.04261	 0.06980	 0.04425	 0.06162	 0.01159	 0.03046	 0.03155	 0.18357	 0.06818	 0.03221	 0.10221	 0.19558	 0.09969	 0.10863	 0.05397	 0.30933	 0.16744	 0.27754	 0.42540	NULL
     6	 0.09952	 0.06486	 0.11884	 0.10415	 0.17543	 0.19506	 0.20178	 0.04037	 0.00788	 0.04687	 0.03447	 0.04248	 0.02870	 0.02110	 0.05952	 0.00990	 0.10989	 0.04130	 0.06656	 0.04379	 0.05098	 0.01345	 0.03046	 0.03155	 0.18357	 0.06818	 0.03221	 0.10221	 0.19558	 0.09969	 0.10863	 0.05397	 0.31593	 0.17406	 0.27754	 0.42540	NULL
     7	 0.12770	 0.05428	 0.11884	 0.10415	 0.18384	 0.20947	 0.22274	 0.01054	-0.00527	 0.04626	 0.00562	 0.05331	 0.02519	 0.02023	 0.05743	 0.00814	 0.10093	 0.03922	 0.05799	 0.04417	 0.04851	 0.01035	 0.03046	 0.03155	 0.19970	 0.04492	 0.03221	 0.10221	 0.17515	 0.12914	 0.12664	 0.04742	 0.33630	 0.18255	 0.27754	 0.42540	NULL
     8	 0.12770	 0.05428	 0.11884	 0.10415	 0.18384	 0.20947	 0.22274	 0.01054	-0.00527	 0.04626	 0.00562	 0.05331	 0.02341	 0.01979	 0.05599	 0.00782	 0.09822	 0.03753	 0.05267	 0.04501	 0.04415	 0.00993	 0.03536	 0.02451	 0.19970	 0.04492	-0.01468	 0.11928	 0.17515	 0.12914	 0.12664	 0.04742	 0.33956	 0.18862	 0.07915	 0.50349	NULL
     9	 0.12770	 0.05428	 0.09035	 0.11423	 0.20893	 0.20005	 0.20178	 0.04037	-0.02366	 0.05316	-0.02323	 0.06414	 0.01708	 0.01996	 0.05244	 0.00576	 0.08977	 0.03659	 0.04137	 0.04424	 0.03977	 0.00952	 0.02284	 0.02365	 0.19929	 0.02789	-0.01468	 0.11928	 0.19558	 0.09969	 0.12981	 0.06192	 0.34805	 0.19262	 0.07915	 0.50349	NULL
    10	 0.12770	 0.05428	 0.09035	 0.11423	 0.20893	 0.20005	 0.20178	 0.04037	-0.01840	 0.04564	-0.02323	 0.06414	 0.01075	 0.02015	 0.04727	 0.00601	 0.08353	 0.03620	 0.03587	 0.04193	 0.03731	 0.00641	 0.00540	 0.02984	 0.16631	 0.04027	-0.00727	 0.05952	 0.16559	 0.11094	 0.12981	 0.06192	 0.35653	 0.19116	-0.11875	 0.58138	NULL
